customer_id,billing_date,payment_date,payment_value,record_type
C-0001,2023-05-31,2023-05-31,112.58,payment
C-0001,2023-07-01,2023-07-01,112.58,payment
C-0001,2023-07-31,2023-08-05,112.58,payment
C-0001,2023-08-31,2023-09-09,112.58,payment
C-0001,2023-10-01,2023-10-01,112.58,payment
C-0001,2023-10-31,2023-10-31,112.58,payment
C-0001,2023-12-01,2023-12-01,112.58,payment
C-0001,2023-12-31,2023-12-31,112.58,payment
C-0001,2024-01-31,2024-01-31,112.58,payment
C-0001,2024-03-02,2024-03-02,112.58,payment
C-0001,2024-03-31,2024-03-31,112.58,payment
C-0001,2024-05-01,2024-05-01,112.58,payment
C-0001,2024-05-31,2024-05-31,112.58,payment
C-0001,2024-07-01,2024-07-01,112.58,payment
C-0001,2024-07-31,2024-07-31,112.58,payment
C-0001,2024-08-31,2024-08-31,112.58,payment
C-0001,2024-10-01,2024-10-01,112.58,payment
C-0001,2024-10-31,2024-11-09,112.58,payment
C-0001,2024-12-01,2024-12-16,112.58,payment
C-0002,2023-10-31,2023-10-31,1074.24,payment
C-0002,2024-10-31,2024-11-02,1074.24,payment
C-0003,2023-01-31,2023-02-06,9575.52,dunning
C-0003,2023-01-31,2023-02-11,9575.52,payment
C-0003,2024-01-31,2024-02-02,9575.52,dunning
C-0003,2024-01-31,2024-02-06,9575.52,payment
C-0003,2024-01-31,2024-02-07,9575.52,dunning
C-0004,2022-12-01,2022-12-01,57.24,payment
C-0004,2023-01-01,2023-01-01,57.24,payment
C-0004,2023-02-01,2023-02-01,57.24,payment
C-0004,2023-03-01,2023-03-01,57.24,payment
C-0004,2023-04-01,2023-04-01,57.24,payment
C-0004,2023-05-01,2023-05-01,57.24,payment
C-0004,2023-06-01,2023-06-01,57.24,payment
C-0004,2023-07-01,2023-07-01,57.24,payment
C-0004,2023-08-01,2023-08-01,57.24,payment
C-0004,2023-09-01,2023-09-01,57.24,payment
C-0004,2023-10-01,2023-10-01,57.24,payment
C-0004,2023-11-01,2023-11-01,57.24,payment
C-0004,2023-12-01,2023-12-01,57.24,payment
C-0004,2024-01-01,2024-01-01,57.24,payment
C-0004,2024-02-01,2024-02-01,57.24,payment
C-0004,2024-03-01,2024-03-01,57.24,payment
C-0004,2024-04-01,2024-04-01,57.24,payment
C-0004,2024-05-01,2024-05-01,57.24,payment
C-0004,2024-06-01,2024-06-01,57.24,payment
C-0004,2024-07-01,2024-07-01,57.24,payment
C-0004,2024-08-01,2024-08-01,57.24,payment
C-0004,2024-09-01,2024-09-01,57.24,payment
C-0004,2024-10-01,2024-10-01,57.24,payment
C-0004,2024-11-01,2024-11-01,57.24,payment
C-0004,2024-12-01,2024-12-01,57.24,payment
C-0005,2022-08-31,2022-08-31,58.13,payment
C-0005,2022-10-01,2022-10-01,58.13,payment
C-0005,2022-10-31,2022-10-31,58.13,payment
C-0005,2022-12-01,2022-12-01,58.13,payment
C-0005,2022-12-31,2022-12-31,58.13,payment
C-0005,2023-01-31,2023-02-06,58.13,payment
C-0005,2023-03-03,2023-03-03,58.13,payment
C-0005,2023-03-31,2023-03-31,58.13,payment
C-0005,2023-05-01,2023-05-01,58.13,payment
C-0005,2023-05-31,2023-05-31,58.13,payment
C-0005,2023-07-01,2023-07-01,58.13,payment
C-0005,2023-07-31,2023-07-31,58.13,payment
C-0005,2023-08-31,2023-08-31,58.13,payment
C-0005,2023-10-01,2023-10-03,58.13,payment
C-0005,2023-10-31,2023-10-31,58.13,payment
C-0005,2023-12-01,2023-12-01,58.13,payment
C-0005,2023-12-31,2023-12-31,58.13,payment
C-0005,2024-01-31,2024-01-31,58.13,payment
C-0005,2024-03-02,2024-03-02,58.13,payment
C-0005,2024-03-31,2024-03-31,58.13,payment
C-0005,2024-05-01,2024-05-01,58.13,payment
C-0005,2024-05-31,2024-05-31,58.13,payment
C-0005,2024-07-01,2024-07-01,58.13,payment
C-0005,2024-07-31,2024-07-31,58.13,payment
C-0005,2024-08-31,2024-08-31,58.13,payment
C-0005,2024-10-01,2024-10-01,58.13,payment
C-0005,2024-10-31,2024-11-08,58.13,payment
C-0005,2024-12-01,2024-12-01,58.13,payment
C-0006,2021-05-01,2021-05-14,8941.2,payment
C-0006,2022-05-01,2022-05-02,8941.2,payment
C-0006,2023-05-01,2023-05-01,8941.2,payment
C-0006,2024-05-01,2024-05-15,8941.2,payment
C-0007,2023-03-03,2023-03-03,7909.8,payment
C-0007,2024-03-03,2024-03-03,7909.8,payment
C-0008,2021-08-31,2021-08-31,2189.46,payment
C-0008,2021-10-01,2021-10-01,2189.46,payment
C-0008,2021-10-31,2021-10-31,2189.46,payment
C-0008,2021-12-01,2021-12-01,2189.46,payment
C-0008,2021-12-31,2021-12-31,2189.46,payment
C-0008,2022-01-31,2022-01-31,2189.46,payment
C-0008,2022-03-03,2022-03-03,2189.46,payment
C-0008,2022-03-31,2022-03-31,2189.46,payment
C-0008,2022-05-01,2022-05-01,2189.46,payment
C-0008,2022-05-31,2022-05-31,2189.46,payment
C-0008,2022-07-01,2022-07-01,2189.46,payment
C-0008,2022-07-31,2022-07-31,2189.46,payment
C-0008,2022-08-31,2022-08-31,2189.46,payment
C-0008,2022-10-01,2022-10-01,2189.46,payment
C-0008,2022-10-31,2022-10-31,2189.46,payment
C-0008,2022-12-01,2022-12-16,2189.46,payment
C-0008,2022-12-31,2022-12-31,2189.46,payment
C-0008,2023-01-31,2023-01-31,2189.46,payment
C-0008,2023-03-03,2023-03-03,2189.46,payment
C-0008,2023-03-31,2023-03-31,2189.46,payment
C-0008,2023-03-31,2023-03-31,2189.46,payment
C-0008,2023-05-01,2023-05-01,2189.46,payment
C-0008,2023-05-31,2023-05-31,2189.46,payment
C-0008,2023-07-01,2023-07-01,2189.46,payment
C-0008,2023-07-31,2023-07-31,2189.46,payment
C-0008,2023-08-31,2023-08-31,2189.46,payment
C-0008,2023-10-01,2023-10-01,2189.46,payment
C-0008,2023-10-31,2023-10-31,2189.46,payment
C-0008,2023-12-01,2023-12-01,2189.46,payment
C-0008,2023-12-31,2023-12-31,2189.46,payment
C-0008,2024-01-31,2024-01-31,2189.46,payment
C-0008,2024-03-02,2024-03-02,2189.46,payment
C-0008,2024-03-31,2024-03-31,2189.46,payment
C-0008,2024-05-01,2024-05-01,2189.46,payment
C-0008,2024-05-31,2024-05-31,2189.46,payment
C-0008,2024-07-01,2024-07-01,2189.46,payment
C-0008,2024-07-31,2024-07-31,2189.46,payment
C-0008,2024-08-31,2024-08-31,2189.46,payment
C-0008,2024-10-01,2024-10-01,2189.46,payment
C-0008,2024-10-31,2024-10-31,2189.46,payment
C-0008,2024-12-01,2024-12-01,2189.46,payment
C-0009,2023-10-31,2023-11-13,85.26,payment
C-0009,2023-12-01,2023-12-01,85.26,payment
C-0009,2023-12-31,2023-12-31,85.26,payment
C-0009,2024-01-31,2024-01-31,85.26,payment
C-0009,2024-03-02,2024-03-02,85.26,payment
C-0009,2024-03-31,2024-03-31,85.26,payment
C-0009,2024-05-01,2024-05-01,85.26,payment
C-0009,2024-05-31,2024-05-31,85.26,payment
C-0009,2024-07-01,2024-07-01,85.26,payment
C-0009,2024-07-31,2024-07-31,85.26,payment
C-0009,2024-08-31,2024-08-31,85.26,payment
C-0009,2024-10-01,2024-10-01,85.26,payment
C-0009,2024-10-31,2024-10-31,85.26,payment
C-0009,2024-12-01,2024-12-01,85.26,payment
C-0010,2021-05-01,2021-05-01,3929.87,payment
C-0010,2021-06-01,2021-06-01,3929.87,payment
C-0010,2021-07-01,2021-07-01,3929.87,payment
C-0010,2021-08-01,2021-08-01,3929.87,payment
C-0010,2021-09-01,2021-09-01,3929.87,payment
C-0010,2021-10-01,2021-10-01,3929.87,payment
C-0010,2021-11-01,2021-11-01,3929.87,payment
C-0010,2021-12-01,2021-12-01,3929.87,payment
C-0010,2022-01-01,2022-01-01,3929.87,payment
C-0010,2022-02-01,2022-02-01,3929.87,payment
C-0010,2022-03-01,2022-03-01,3929.87,payment
C-0010,2022-04-01,2022-04-01,3929.87,payment
C-0010,2022-05-01,2022-05-01,3929.87,payment
C-0010,2022-06-01,2022-06-01,3929.87,payment
C-0010,2022-07-01,2022-07-01,3929.87,payment
C-0010,2022-08-01,2022-08-01,3929.87,payment
C-0010,2022-09-01,2022-09-01,3929.87,payment
C-0010,2022-10-01,2022-10-01,3929.87,payment
C-0010,2022-11-01,2022-11-01,3929.87,payment
C-0010,2022-12-01,2022-12-01,3929.87,payment
C-0010,2023-01-01,2023-01-01,3929.87,payment
C-0010,2023-02-01,2023-02-01,3929.87,payment
C-0010,2023-03-01,2023-03-01,3929.87,payment
C-0010,2023-04-01,2023-04-01,3929.87,payment
C-0010,2023-05-01,2023-05-01,3929.87,payment
C-0010,2023-06-01,2023-06-01,3929.87,payment
C-0010,2023-07-01,2023-07-01,3929.87,payment
C-0010,2023-08-01,2023-08-01,3929.87,payment
C-0010,2023-09-01,2023-09-01,3929.87,payment
C-0010,2023-10-01,2023-10-01,3929.87,payment
C-0010,2023-11-01,2023-11-01,3929.87,payment
C-0010,2023-12-01,2023-12-01,3929.87,payment
C-0010,2024-01-01,2024-01-01,3929.87,payment
C-0010,2024-02-01,2024-02-01,3929.87,payment
C-0010,2024-03-01,2024-03-01,3929.87,payment
C-0010,2024-04-01,2024-04-01,3929.87,payment
C-0010,2024-05-01,2024-05-01,3929.87,payment
C-0010,2024-06-01,2024-06-01,3929.87,payment
C-0010,2024-07-01,2024-07-01,3929.87,payment
C-0010,2024-08-01,2024-08-01,3929.87,payment
C-0010,2024-09-01,2024-09-01,3929.87,payment
C-0010,2024-10-01,2024-10-01,3929.87,payment
C-0010,2024-11-01,2024-11-01,3929.87,payment
C-0010,2024-12-01,2024-12-01,3929.87,payment
C-0011,2022-08-31,2022-08-31,52.13,payment
C-0011,2022-10-01,2022-10-01,52.13,payment
C-0011,2022-10-31,2022-11-12,52.13,payment
C-0011,2022-12-01,2022-12-01,52.13,payment
C-0011,2022-12-31,2022-12-31,52.13,payment
C-0011,2023-01-31,2023-02-09,52.13,payment
C-0011,2023-03-03,2023-03-03,52.13,payment
C-0011,2023-03-31,2023-03-31,52.13,payment
C-0011,2023-05-01,2023-05-01,52.13,payment
C-0011,2023-05-31,2023-05-31,52.13,payment
C-0011,2023-07-01,2023-07-01,52.13,payment
C-0011,2023-07-31,2023-07-31,52.13,payment
C-0011,2023-08-31,2023-08-31,52.13,payment
C-0011,2023-10-01,2023-10-08,52.13,payment
C-0011,2023-10-31,2023-10-31,52.13,payment
C-0011,2023-12-01,2023-12-13,52.13,payment
C-0011,2023-12-31,2023-12-31,52.13,payment
C-0011,2024-01-31,2024-01-31,52.13,payment
C-0011,2024-03-02,2024-03-02,52.13,payment
C-0011,2024-03-31,2024-03-31,52.13,payment
C-0011,2024-05-01,2024-05-01,52.13,payment
C-0011,2024-05-31,2024-05-31,52.13,payment
C-0011,2024-07-01,2024-07-01,52.13,payment
C-0011,2024-07-31,2024-07-31,52.13,payment
C-0011,2024-08-31,2024-08-31,52.13,payment
C-0011,2024-10-01,2024-10-01,52.13,payment
C-0011,2024-10-31,2024-10-31,52.13,payment
C-0011,2024-12-01,2024-12-01,52.13,payment
C-0012,2022-10-01,2022-10-04,2326.56,payment
C-0012,2023-10-01,2023-10-15,2326.56,payment
C-0012,2024-10-01,2024-10-09,2326.56,payment
C-0013,2023-08-31,2023-09-05,12348.36,payment
C-0013,2024-08-31,2024-09-06,12348.36,payment
C-0014,2022-12-31,2022-12-31,126.09,payment
C-0014,2023-01-31,2023-01-31,126.09,payment
C-0014,2023-03-03,2023-03-03,126.09,payment
C-0014,2023-03-31,2023-03-31,126.09,payment
C-0014,2023-05-01,2023-05-01,126.09,payment
C-0014,2023-05-31,2023-05-31,126.09,payment
C-0014,2023-07-01,2023-07-01,126.09,payment
C-0014,2023-07-31,2023-07-31,126.09,payment
C-0014,2023-08-31,2023-08-31,126.09,payment
C-0014,2023-10-01,2023-10-01,126.09,payment
C-0014,2023-10-31,2023-10-31,126.09,payment
C-0014,2023-12-01,2023-12-01,126.09,payment
C-0014,2023-12-31,2023-12-31,126.09,payment
C-0014,2024-01-31,2024-01-31,126.09,payment
C-0014,2024-03-02,2024-03-14,126.09,payment
C-0014,2024-03-31,2024-03-31,126.09,payment
C-0014,2024-05-01,2024-05-01,126.09,payment
C-0014,2024-05-31,2024-05-31,126.09,payment
C-0014,2024-07-01,2024-07-01,126.09,payment
C-0014,2024-07-31,2024-07-31,126.09,payment
C-0014,2024-08-31,2024-08-31,126.09,payment
C-0014,2024-10-01,2024-10-01,126.09,payment
C-0014,2024-10-31,2024-10-31,126.09,payment
C-0014,2024-12-01,2024-12-01,126.09,payment
C-0015,2021-10-01,2021-10-05,8836.92,payment
C-0015,2022-10-01,2022-10-09,8836.92,payment
C-0015,2023-10-01,2023-10-08,8836.92,payment
C-0015,2023-10-01,2023-10-09,8836.92,dunning
C-0015,2024-10-01,2024-10-06,8836.92,payment
C-0016,2021-03-03,2021-03-03,620.23,payment
C-0016,2021-04-03,2021-04-03,620.23,payment
C-0016,2021-05-03,2021-05-03,620.23,payment
C-0016,2021-06-03,2021-06-03,620.23,payment
C-0016,2021-07-03,2021-07-03,620.23,payment
C-0016,2021-08-03,2021-08-03,620.23,payment
C-0016,2021-09-03,2021-09-03,620.23,payment
C-0016,2021-10-03,2021-10-03,620.23,payment
C-0016,2021-11-03,2021-11-03,620.23,payment
C-0016,2021-12-03,2021-12-03,620.23,payment
C-0016,2022-01-03,2022-01-03,620.23,payment
C-0016,2022-02-03,2022-02-12,620.23,payment
C-0016,2022-03-03,2022-03-03,620.23,payment
C-0016,2022-04-03,2022-04-03,620.23,payment
C-0016,2022-05-03,2022-05-03,620.23,payment
