customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date
C-0001,Starter,Monthly,2023-05-31,4,2024-12-05
C-0002,Starter,Annual,2023-10-31,1,2024-11-02
C-0003,Professional,Annual,2023-01-31,9,
C-0004,Starter,Monthly,2022-08-31,2,2024-11-24
C-0005,Starter,Monthly,2021-04-30,1,
C-0006,professional,Annual,2023-02-28,10,
C-0007,Professional,Annual,2021-08-31,12,2024-11-19
C-0008,Enterprise,Monthly,2023-10-31,42,2024-12-18
C-0009,starter,Monthly,2021-04-30,5,
C-0010,Enterprise,Monthly,2022-08-31,93,2024-12-28
C-0011,Starter,Monthly,2022-09-30,1,2024-11-23
C-0012,starter,Annual,2023-08-31,2,
C-0013,Enterprise,Annual,2022-12-31,16,2024-10-31
C-0014,Starter,Monthly,2021-09-30,4,2024-12-14
C-0015,Professional,Annual,2021-02-28,12,
C-0016,Professional,Monthly,2024-11-30,15,
C-0017,Starter,Annual,2024-11-30,3,2024-10-25
C-0018,Starter,Monthly,2021-08-31,4,2024-12-26
C-0019,Professional,Monthly,2021-05-31,18,
C-0020,Starter,Annual,2022-09-30,1,
C-0021,Starter,Monthly,2023-12-31,1,
C-0022,Starter,Monthly,2024-06-30,2,2024-12-15
C-0023,Enterprise,Monthly,2023-03-31,64,2024-10-26
C-0024,Professional,Monthly,2022-09-30,16,
C-0025,Enterprise,Annual,2024-07-31,42,
C-0026,Professional,Monthly,2021-09-30,16,
C-0027,professional,Monthly,2022-11-30,5,
C-0028,Professional,Annual,2022-04-30,19,
C-0029,Starter,Monthly,2024-11-30,2,
C-0030,Professional,Monthly,2021-11-30,12,2024-12-17
C-0031,Starter,Annual,2024-02-29,2,2024-10-25
C-0032,Enterprise,Monthly,2021-01-31,34,2024-12-05
C-0033,Professional,Monthly,2020-12-31,19,
C-0034,Professional,Monthly,2023-10-31,9,2024-10-25
C-0035,Enterprise,Annual,2023-08-31,97,
C-0036,Professional,Monthly,2023-11-30,16,
C-0037,professional,Annual,2024-10-31,5,
C-0038,Professional,Annual,2022-03-31,15,
C-0039,Professional,Monthly,2022-04-30,16,2024-10-18
C-0040,Starter,Annual,2020-12-31,5,
C-0041,Professional,Monthly,2021-07-31,11,2024-10-04
C-0042,professional,Monthly,2022-10-31,10,2024-10-28
C-0043,Enterprise,Monthly,2022-03-31,89,
C-0044,Professional,Monthly,2021-11-30,3,
C-0045,Professional,Monthly,2024-03-31,5,2024-11-05
C-0046,Enterprise,Monthly,2024-03-31,59,
C-0047,Professional,Monthly,2022-05-31,11,
C-0048,Professional,Monthly,2024-09-30,15,2024-10-23
C-0049,Starter,Annual,2021-06-30,1,2024-11-10
C-0050,enterprise,Annual,2022-06-30,56,
C-0051,Starter,Monthly,2022-07-31,5,2024-11-09
C-0052,Professional,Annual,2024-11-30,3,
C-0053,Starter,Monthly,2023-09-30,4,2024-11-07
C-0054,Starter,Annual,2021-03-31,2,2024-11-15
C-0055,professional,Annual,2022-07-31,13,
C-0056,starter,Monthly,2022-04-30,4,
C-0057,Enterprise,Annual,2023-10-31,94,2024-10-26
C-0058,Starter,Monthly,2024-08-31,5,2024-11-08
C-0059,Professional,Monthly,2021-01-31,19,2024-12-20
C-0060,Starter,Annual,2021-02-28,5,2024-11-04
C-0061,Starter,Monthly,2024-05-31,4,2024-10-19
C-0062,Starter,Annual,2023-01-31,3,2024-10-29
C-0063,Starter,Annual,2024-09-30,5,2024-11-16
C-0064,Enterprise,Annual,2023-03-31,48,
C-0065,starter,Annual,2022-06-30,5,2024-12-14
C-0066,Professional,Monthly,2022-05-31,15,2024-12-22
C-0067,Starter,Annual,2021-11-30,3,
C-0068,Professional,Monthly,2023-01-31,17,
C-0069,Enterprise,Monthly,2022-07-31,80,
C-0070,Professional,Monthly,2023-09-30,17,
C-0071,starter,Monthly,2021-04-30,4,2024-11-27
C-0072,Enterprise,Monthly,2021-09-30,11,
C-0073,Professional,Monthly,2023-07-31,15,2024-12-23
C-0074,enterprise,Monthly,2021-04-30,49,2024-11-16
C-0075,Starter,Annual,2021-02-28,5,
C-0076,Professional,Annual,2022-01-31,6,
C-0077,Enterprise,Annual,2022-01-31,68,2024-10-30
C-0078,Professional,Annual,2022-04-30,9,
C-0079,Starter,Monthly,2021-11-30,1,
C-0080,Enterprise,Annual,2021-01-31,56,2024-12-28
C-0081,Enterprise,Annual,2023-06-30,91,
C-0082,starter,Monthly,2021-03-31,2,
C-0083,Starter,Monthly,2021-07-31,5,
C-0084,Enterprise,Annual,2024-05-31,81,
C-0085,professional,Monthly,2021-03-31,6,2024-12-09
C-0086,Enterprise,Annual,2022-03-31,99,
C-0087,Starter,Annual,2024-11-30,3,
C-0088,Enterprise,Monthly,2021-08-31,61,2024-12-11
C-0089,Starter,Annual,2022-08-31,5,2024-11-15
C-0090,Enterprise,Annual,2023-03-31,28,2024-12-24
C-0091,Professional,Annual,2023-10-31,9,
C-0092,Enterprise,Monthly,2021-05-31,56,
C-0093,Starter,Annual,2024-02-29,4,2024-10-22
C-0094,Professional,Annual,2021-05-31,9,
C-0095,Enterprise,Annual,2024-05-31,90,2024-11-29
C-0096,Enterprise,Monthly,2022-12-31,22,
C-0097,Enterprise,Monthly,2024-05-31,47,2024-11-03
C-0098,Enterprise,Monthly,2022-11-30,77,2024-11-13
C-0099,Professional,Monthly,2024-05-31,3,2024-11-28
C-0100,Professional,Annual,2024-02-29,7,2024-12-22
C-0101,Professional,Monthly,2021-04-30,10,2024-12-22
C-0102,Starter,Annual,2024-10-31,5,2024-11-29
C-0103,Starter,Annual,2023-07-31,5,2024-11-30
C-0104,Starter,Annual,2023-12-31,1,2024-12-02
C-0105,Starter,Annual,2023-01-31,3,
C-0106,Starter,Annual,2023-03-31,2,2024-11-16
C-0107,professional,Annual,2023-08-31,15,
C-0108,Starter,Monthly,2021-12-31,2,2024-11-26
C-0109,professional,Monthly,2023-06-30,8,2024-11-08
C-0110,Starter,Annual,2023-05-31,3,2024-10-31
C-0111,Starter,Annual,2021-05-31,3,
C-0112,Professional,Annual,2024-05-31,7,2024-10-27
C-0113,Starter,Annual,2022-02-28,1,2024-11-21
C-0114,Starter,Monthly,2024-03-31,3,2024-12-01
C-0115,Starter,Monthly,2022-08-31,2,
C-0116,professional,Annual,2023-08-31,18,2024-11-24
C-0117,Starter,Monthly,2023-05-31,1,2024-11-28
C-0118,Starter,Monthly,2023-07-31,2,2024-11-06
C-0119,Starter,Monthly,2021-08-31,1,2024-12-21
C-0120,Enterprise,Monthly,2024-09-30,37,2024-11-07
C-0121,Starter,Monthly,2021-09-30,2,2024-11-12
C-0122,enterprise,Monthly,2023-06-30,89,2024-12-01
C-0123,Professional,Annual,2023-02-28,14,
C-0124,Starter,Monthly,2023-10-31,4,
C-0125,Professional,Monthly,2023-03-31,4,
C-0126,Starter,Annual,2024-07-31,2,
C-0127,starter,Monthly,2023-07-31,5,
C-0128,Professional,Monthly,2021-12-31,9,
C-0129,Professional,Annual,2021-06-30,6,2024-12-08
C-0130,Enterprise,Monthly,2021-12-31,81,2024-11-04
C-0131,enterprise,Annual,2023-03-31,28,
C-0132,Enterprise,Monthly,2024-04-30,96,2024-12-28
C-0133,Professional,Monthly,2022-03-31,9,
C-0134,professional,Monthly,2024-02-29,18,2024-11-06
C-0135,Professional,Annual,2022-03-31,4,
C-0136,Starter,Annual,2021-10-31,1,
C-0137,Starter,Annual,2024-11-30,3,2024-11-27
C-0138,professional,Annual,2023-05-31,18,
C-0139,Professional,Annual,2024-02-29,20,
C-0140,Enterprise,Monthly,2023-05-31,92,2024-11-06
C-0141,Starter,Annual,2021-01-31,3,2024-11-29
C-0142,Enterprise,Monthly,2021-07-31,62,2024-12-18
C-0143,Enterprise,Monthly,2022-11-30,100,2024-12-18
C-0144,Enterprise,Monthly,2023-03-31,30,
C-0145,Professional,Monthly,2022-05-31,8,2024-12-27
C-0146,Starter,Monthly,2024-11-30,1,2024-11-08
C-0147,Professional,Annual,2022-03-31,19,
C-0148,Starter,Annual,2023-02-28,1,2024-11-11
C-0149,Professional,Annual,2024-03-31,7,
C-0150,Enterprise,Monthly,2022-12-31,32,2024-10-04
C-0151,Starter,Annual,2021-10-31,4,2024-11-15
C-0152,enterprise,Monthly,2022-08-31,38,2024-12-18
C-0153,Starter,Annual,2022-07-31,1,2024-10-07
C-0154,Enterprise,Monthly,2023-11-30,73,
C-0155,Starter,Annual,2023-11-30,5,
C-0156,Enterprise,Monthly,2023-02-28,33,
C-0157,Enterprise,Annual,2024-05-31,84,2024-10-17
C-0158,Enterprise,Monthly,2021-09-30,52,
C-0159,Professional,Monthly,2024-03-31,5,
C-0160,Enterprise,Monthly,2021-10-31,26,
C-0161,Starter,Annual,2024-09-30,2,
C-0162,Starter,Annual,2021-10-31,2,
C-0163,professional,Monthly,2024-03-31,18,
C-0164,starter,Monthly,2021-01-31,5,2024-11-27
C-0165,Professional,Monthly,2023-07-31,4,
C-0166,Professional,Annual,2023-07-31,6,
C-0167,Starter,Monthly,2024-05-31,3,2024-11-07
C-0168,Starter,Annual,2023-06-30,2,
C-0169,Enterprise,Annual,2021-11-30,51,2024-11-12
C-0170,Starter,Monthly,2022-03-31,3,
C-0171,Enterprise,Monthly,2022-02-28,83,
C-0172,Enterprise,Monthly,2022-12-31,77,
C-0173,Starter,Annual,2023-12-31,5,2024-11-29
C-0174,Enterprise,Annual,2022-05-31,56,
C-0175,Starter,Monthly,2024-10-31,1,
C-0176,Professional,Monthly,2022-12-31,19,2024-12-30
C-0177,Starter,Monthly,2021-06-30,2,2024-10-04
C-0178,Professional,Monthly,2021-12-31,11,
C-0179,Starter,Monthly,2020-12-31,1,
C-0180,Professional,Annual,2022-05-31,14,
C-0181,Starter,Monthly,2022-02-28,3,
C-0182,Professional,Monthly,2022-02-28,16,
C-0183,Professional,Monthly,2021-03-31,6,2024-11-24
