ticket_id,customer_id,created_date,category,priority,status
TK-00001,C-0002,2024-01-14,Onboarding,Medium,Resolved
TK-00002,C-0002,2024-09-03,Feature Request,Medium,Closed
TK-00003,C-0002,2024-10-24,Billing,Low,Open
TK-00004,C-0002,2024-11-01,Billing,Low,Closed
TK-00005,C-0002,2024-11-09,Onboarding,Medium,Resolved
TK-00006,C-0002,2024-11-11,Technical,Medium,Open
TK-00007,C-0002,2024-11-12,Technical,High,Closed
TK-00008,C-0002,2024-11-23,Billing,Low,Closed
TK-00009,C-0002,2024-11-29,Billing,Low,Closed
TK-00010,C-0002,2024-11-29,Onboarding,Medium,Closed
TK-00011,C-0002,2024-12-10,Feature Request,Medium,Closed
TK-00012,C-0002,2024-12-16,Technical,High,Closed
TK-00013,C-0002,2024-12-16,Onboarding,Medium,Closed
TK-00014,C-0002,2024-12-20,Account,High,Resolved
TK-00015,C-0002,2024-12-21,Account,Low,Closed
TK-00016,C-0002,2024-12-21,Billing,Low,Closed
TK-00017,C-0002,2024-12-27,Billing,High,Resolved
TK-00018,C-0003,2024-06-03,Account,High,Resolved
TK-00019,C-0003,2024-08-26,Billing,Low,Resolved
TK-00020,C-0003,2024-11-25,Feature Request,High,Resolved
TK-00021,C-0004,2024-05-30,Account,High,Resolved
TK-00022,C-0004,2024-08-09,Technical,High,Closed
TK-00023,C-0004,2024-08-12,Technical,Low,Resolved
TK-00024,C-0004,2024-10-03,Feature Request,Medium,Closed
TK-00025,C-0004,2024-10-06,Billing,Critical,Resolved
TK-00026,C-0004,2024-10-12,Technical,High,Resolved
TK-00027,C-0004,2024-10-29,Account,Medium,Resolved
TK-00028,C-0004,2024-11-11,Account,Critical,Closed
TK-00029,C-0004,2024-12-02,Onboarding,Medium,Closed
TK-00030,C-0004,2024-12-08,Billing,Medium,Closed
TK-00031,C-0004,2024-12-15,Feature Request,Low,In Progress
TK-00032,C-0004,2024-12-21,Billing,High,Closed
TK-00033,C-0004,2024-12-28,Technical,Low,In Progress
TK-00034,C-0005,2024-05-07,Technical,High,Closed
TK-00035,C-0005,2024-05-22,Technical,Medium,In Progress
TK-00036,C-0005,2024-10-12,Technical,Medium,Resolved
TK-00037,C-0005,2024-11-22,Billing,Medium,Closed
TK-00038,C-0005,2024-12-16,Technical,High,Closed
TK-00039,C-0005,2024-12-20,Feature Request,Medium,In Progress
TK-00040,C-0005,2024-12-28,Billing,Critical,Closed
TK-00041,C-0005,2024-11-27,Technical,Low,Closed
TK-00042,C-0006,2024-07-26,Onboarding,Medium,Closed
TK-00043,C-0006,2024-10-09,Feature Request,Low,Closed
TK-00044,C-0006,2024-10-11,Technical,Medium,Open
TK-00045,C-0006,2024-10-11,Technical,High,Resolved
TK-00046,C-0006,2024-10-14,Technical,Medium,Closed
TK-00047,C-0006,2024-10-20,Billing,Medium,Closed
TK-00048,C-0006,2024-10-24,Technical,Medium,Open
TK-00049,C-0006,2024-10-30,Account,Critical,Closed
TK-00050,C-0006,2024-10-31,Account,Low,Closed
TK-00051,C-0006,2024-11-04,Feature Request,Medium,Closed
TK-00052,C-0006,2024-11-25,Billing,High,In Progress
TK-00053,C-0006,2024-12-09,Account,Medium,Open
TK-00054,C-0006,2024-12-17,Technical,Low,Resolved
TK-00055,C-0006,2024-12-23,Technical,Low,Closed
TK-00056,C-0006,2024-12-26,Technical,Critical,Closed
TK-00057,C-0006,2024-12-30,Technical,Medium,Resolved
TK-00058,C-0007,2024-03-16,Billing,Low,In Progress
TK-00059,C-0007,2024-05-19,Technical,Low,Closed
TK-00060,C-0007,2024-10-14,Billing,Critical,In Progress
TK-00061,C-0007,2024-10-27,Account,Low,Closed
TK-00062,C-0007,2024-10-31,Billing,Low,Closed
TK-00063,C-0007,2024-11-06,Onboarding,Medium,Closed
TK-00064,C-0007,2024-11-07,Billing,Low,In Progress
TK-00065,C-0007,2024-11-23,Feature Request,Medium,In Progress
TK-00066,C-0007,2024-12-11,Billing,Medium,Resolved
TK-00067,C-0007,2024-12-12,Billing,Low,Open
TK-00068,C-0007,2024-12-23,Feature Request,Low,Closed
TK-00069,C-0008,2024-10-26,Technical,Medium,Closed
TK-00070,C-0008,2024-11-24,Account,Low,In Progress
TK-00071,C-0008,2024-12-08,Technical,High,Closed
TK-00072,C-0008,2024-05-18,Feature Request,Critical,Resolved
TK-00073,C-0009,2024-07-10,Technical,High,Resolved
TK-00074,C-0009,2024-10-05,Technical,Medium,Open
TK-00075,C-0009,2024-10-14,Billing,High,In Progress
TK-00076,C-0009,2024-12-27,Technical,Low,Closed
TK-00077,C-0010,2024-03-11,Technical,Medium,Closed
TK-00078,C-0010,2024-04-27,Billing,Medium,Resolved
TK-00079,C-0010,2024-07-20,Technical,High,Resolved
TK-00080,C-0010,2024-10-07,Feature Request,High,Closed
TK-00081,C-0010,2024-10-16,Technical,Critical,Resolved
TK-00082,C-0010,2024-10-31,Onboarding,Medium,Closed
TK-00083,C-0010,2024-11-07,Account,High,In Progress
TK-00084,C-0010,2024-11-25,Technical,Medium,In Progress
TK-00085,C-0010,2024-12-06,Billing,Medium,Closed
TK-00086,C-0010,2024-12-11,Account,High,Closed
TK-00087,C-0010,2024-12-11,Account,Low,Closed
TK-00088,C-0010,2024-12-11,Feature Request,High,Resolved
TK-00089,C-0011,2024-07-18,Billing,Critical,Resolved
TK-00090,C-0011,2024-10-14,Onboarding,Low,Resolved
TK-00091,C-0011,2024-10-16,Billing,Medium,Closed
TK-00092,C-0011,2024-12-30,Billing,High,In Progress
TK-00093,C-0012,2024-10-04,Billing,High,Resolved
TK-00094,C-0012,2024-10-21,Billing,Low,Resolved
TK-00095,C-0012,2024-10-23,Billing,High,Closed
TK-00096,C-0012,2024-10-24,Account,Critical,Open
TK-00097,C-0012,2024-11-13,Billing,Medium,Resolved
TK-00098,C-0012,2024-11-20,Account,Medium,Resolved
TK-00099,C-0012,2024-11-27,Account,High,Resolved
TK-00100,C-0012,2024-12-01,Feature Request,High,Resolved
TK-00101,C-0013,2024-07-14,Billing,Medium,Resolved
TK-00102,C-0013,2024-10-17,Technical,Medium,Resolved
TK-00103,C-0013,2024-10-19,Feature Request,High,Open
TK-00104,C-0013,2024-11-10,Technical,High,Resolved
TK-00105,C-0013,2024-11-27,Feature Request,High,In Progress
TK-00106,C-0013,2024-11-30,Billing,Medium,Open
TK-00107,C-0013,2024-11-30,Billing,Medium,Resolved
TK-00108,C-0013,2024-12-19,Technical,Medium,Resolved
TK-00109,C-0013,2024-12-23,Billing,High,In Progress
TK-00110,C-0013,2024-12-26,Account,Critical,Resolved
TK-00111,C-0013,2024-10-13,Technical,Low,Closed
TK-00112,C-0014,2024-03-28,Onboarding,Medium,Closed
